species,park,observations
Malus angustifolia,Bryce National Park,97
Malus angustifolia,Yellowstone National Park,239
Cyanocitta stelleri,Great Smoky Mountains National Park,48
Cyanocitta stelleri,Yosemite National Park,160
Cyanocitta stelleri,Bryce National Park,95
Cyanocitta stelleri,Yellowstone National Park,230
Platanthera dilatata var. dilatata,Great Smoky Mountains National Park,76
Platanthera dilatata var. dilatata,Yosemite National Park,129
Platanthera dilatata var. dilatata,Bryce National Park,85
Platanthera dilatata var. dilatata,Yellowstone National Park,257
Cheilanthes intertexta,Great Smoky Mountains National Park,92
Cheilanthes intertexta,Yosemite National Park,124
Cheilanthes intertexta,Bryce National Park,112
Cheilanthes intertexta,Yellowstone National Park,271
Carex lenticularis var. lipocarpa,Great Smoky Mountains National Park,113
Carex lenticularis var. lipocarpa,Yosemite National Park,156
Carex lenticularis var. lipocarpa,Bryce National Park,112
Carex lenticularis var. lipocarpa,Yellowstone National Park,236
Floerkea proserpinacoides,Great Smoky Mountains National Park,17
Floerkea proserpinacoides,Yosemite National Park,131
Floerkea proserpinacoides,Bryce National Park,96
Floerkea proserpinacoides,Yellowstone National Park,235
Juncus effusus var. solutus,Great Smoky Mountains National Park,112
Juncus effusus var. solutus,Yosemite National Park,131
Juncus effusus var. solutus,Bryce National Park,95
Juncus effusus var. solutus,Yellowstone National Park,230
Thelypodium sagittatum,Great Smoky Mountains National Park,67
Thelypodium sagittatum,Yosemite National Park,164
Thelypodium sagittatum,Bryce National Park,121
Thelypodium sagittatum,Yellowstone National Park,250
Lychnis coronaria,Great Smoky Mountains National Park,87
Lychnis coronaria,Yosemite National Park,163
Lychnis coronaria,Bryce National Park,90
Lychnis coronaria,Yellowstone National Park,260
Carduelis tristis,Great Smoky Mountains National Park,85
Carduelis tristis,Yosemite National Park,141
Carduelis tristis,Bryce National Park,110
Carduelis tristis,Yellowstone National Park,222
Cicuta douglasii,Great Smoky Mountains National Park,91
Cicuta douglasii,Yosemite National Park,170
Cicuta douglasii,Bryce National Park,119
Cicuta douglasii,Yellowstone National Park,243
Melanthium latifolium,Great Smoky Mountains National Park,86
Melanthium latifolium,Yosemite National Park,167
Melanthium latifolium,Bryce National Park,40
Melanthium latifolium,Yellowstone National Park,216
Lespedeza procumbens,Great Smoky Mountains National Park,59
Lespedeza procumbens,Yosemite National Park,147
Lespedeza procumbens,Bryce National Park,82
Lespedeza procumbens,Yellowstone National Park,233
Juncus ensifolius var. montanus,Great Smoky Mountains National Park,48
Juncus ensifolius var. montanus,Yosemite National Park,143
Juncus ensifolius var. montanus,Bryce National Park,83
Juncus ensifolius var. montanus,Yellowstone National Park,247
Osmorhiza depauperata,Great Smoky Mountains National Park,67
Osmorhiza depauperata,Yosemite National Park,163
Osmorhiza depauperata,Bryce National Park,67
Osmorhiza depauperata,Yellowstone National Park,236
Cucumis melo,Great Smoky Mountains National Park,68
Cucumis melo,Yosemite National Park,152
Cucumis melo,Bryce National Park,80
Cucumis melo,Yellowstone National Park,202
Oncorhynchus mykiss,Great Smoky Mountains National Park,100
Oncorhynchus mykiss,Yosemite National Park,177
Oncorhynchus mykiss,Bryce National Park,164
Oncorhynchus mykiss,Yellowstone National Park,372
Ajuga reptans,Great Smoky Mountains National Park,60
Ajuga reptans,Yosemite National Park,155
Ajuga reptans,Bryce National Park,91
Ajuga reptans,Yellowstone National Park,226
Ranunculus pusillus,Great Smoky Mountains National Park,82
Ranunculus pusillus,Yosemite National Park,156
Ranunculus pusillus,Bryce National Park,108
Ranunculus pusillus,Yellowstone National Park,253
Taraxacum ceratophorum,Great Smoky Mountains National Park,84
Taraxacum ceratophorum,Yosemite National Park,151
Taraxacum ceratophorum,Bryce National Park,89
Taraxacum ceratophorum,Yellowstone National Park,240
Oxytropis parryi,Great Smoky Mountains National Park,66
Oxytropis parryi,Yosemite National Park,132
Oxytropis parryi,Bryce National Park,102
Oxytropis parryi,Yellowstone National Park,221
Cynosurus echinatus,Great Smoky Mountains National Park,56
Cynosurus echinatus,Yosemite National Park,135
Cynosurus echinatus,Bryce National Park,75
Cynosurus echinatus,Yellowstone National Park,246
Platanthera stricta,Great Smoky Mountains National Park,83
Platanthera stricta,Yosemite National Park,153
Platanthera stricta,Bryce National Park,76
Platanthera stricta,Yellowstone National Park,245
Dodecatheon subalpinum,Great Smoky Mountains National Park,71
Dodecatheon subalpinum,Yosemite National Park,149
Dodecatheon subalpinum,Bryce National Park,114
Dodecatheon subalpinum,Yellowstone National Park,206
Rumex paucifolius,Great Smoky Mountains National Park,86
Rumex paucifolius,Yosemite National Park,120
Rumex paucifolius,Bryce National Park,105
Rumex paucifolius,Yellowstone National Park,255
Cyperus pseudovegetus,Great Smoky Mountains National Park,91
Cyperus pseudovegetus,Yosemite National Park,159
Cyperus pseudovegetus,Bryce National Park,108
Cyperus pseudovegetus,Yellowstone National Park,243
Malus coronaria,Great Smoky Mountains National Park,75
Malus coronaria,Yosemite National Park,143
Malus coronaria,Bryce National Park,102
Malus coronaria,Yellowstone National Park,221
Nepeta cataria,Great Smoky Mountains National Park,139
Nepeta cataria,Yosemite National Park,387
Nepeta cataria,Bryce National Park,236
Nepeta cataria,Yellowstone National Park,474
Hieracium piloselloides,Great Smoky Mountains National Park,57
Hieracium piloselloides,Yosemite National Park,117
Hieracium piloselloides,Bryce National Park,77
Hieracium piloselloides,Yellowstone National Park,241
Dichanthelium dichotomum var. dichotomum,Great Smoky Mountains National Park,131
Dichanthelium dichotomum var. dichotomum,Yosemite National Park,168
Dichanthelium dichotomum var. dichotomum,Bryce National Park,105
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242
Bidens aristosa,Great Smoky Mountains National Park,57
Bidens aristosa,Yosemite National Park,123
Bidens aristosa,Bryce National Park,111
Bidens aristosa,Yellowstone National Park,251
Secale cereale,Great Smoky Mountains National Park,158
Secale cereale,Yosemite National Park,305
Secale cereale,Bryce National Park,198
Secale cereale,Yellowstone National Park,490
Rugelia nudicaulis,Great Smoky Mountains National Park,58
Rugelia nudicaulis,Yosemite National Park,120
Rugelia nudicaulis,Bryce National Park,93
Rugelia nudicaulis,Yellowstone National Park,186
Iva annua,Great Smoky Mountains National Park,70
Iva annua,Yosemite National Park,161
Iva annua,Bryce National Park,103
Iva annua,Yellowstone National Park,233
Bromus suksdorfii,Great Smoky Mountains National Park,53
Bromus suksdorfii,Yosemite National Park,125
Bromus suksdorfii,Bryce National Park,56
Bromus suksdorfii,Yellowstone National Park,243
Taenidia integerrima,Great Smoky Mountains National Park,75
Taenidia integerrima,Yosemite National Park,170
Taenidia integerrima,Bryce National Park,114
Taenidia integerrima,Yellowstone National Park,226
Symphyotrichum spathulatum,Great Smoky Mountains National Park,72
Symphyotrichum spathulatum,Yosemite National Park,163
Symphyotrichum spathulatum,Bryce National Park,110
Symphyotrichum spathulatum,Yellowstone National Park,240
Heterotheca villosa var. villosa,Great Smoky Mountains National Park,61
Heterotheca villosa var. villosa,Yosemite National Park,124
Heterotheca villosa var. villosa,Bryce National Park,98
Heterotheca villosa var. villosa,Yellowstone National Park,276
Pica hudsonia,Great Smoky Mountains National Park,97
Pica hudsonia,Yosemite National Park,297
Pica hudsonia,Bryce National Park,186
Pica hudsonia,Yellowstone National Park,464
Viburnum lentago,Great Smoky Mountains National Park,74
Viburnum lentago,Yosemite National Park,131
Viburnum lentago,Bryce National Park,106
Viburnum lentago,Yellowstone National Park,271
Saxifraga subapetala,Great Smoky Mountains National Park,83
Saxifraga subapetala,Yosemite National Park,153
Saxifraga subapetala,Bryce National Park,110
Saxifraga subapetala,Yellowstone National Park,265
Helianthella quinquenervis,Great Smoky Mountains National Park,72
Helianthella quinquenervis,Yosemite National Park,128
Helianthella quinquenervis,Bryce National Park,113
Helianthella quinquenervis,Yellowstone National Park,237
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29
Pteridium aquilinum var. latiusculum,Yosemite National Park,126
Pteridium aquilinum var. latiusculum,Bryce National Park,95
Pteridium aquilinum var. latiusculum,Yellowstone National Park,244
Sturnus vulgaris,Great Smoky Mountains National Park,129
Sturnus vulgaris,Yosemite National Park,299
Sturnus vulgaris,Bryce National Park,173
Sturnus vulgaris,Yellowstone National Park,478
Carex preslii,Great Smoky Mountains National Park,25
Carex preslii,Yosemite National Park,149
Carex preslii,Bryce National Park,76
Carex preslii,Yellowstone National Park,296
Pellaea breweri,Great Smoky Mountains National Park,73
Pellaea breweri,Yosemite National Park,132
Pellaea breweri,Bryce National Park,115
Pellaea breweri,Yellowstone National Park,240
Houstonia longifolia var. longifolia,Great Smoky Mountains National Park,64
Houstonia longifolia var. longifolia,Yosemite National Park,163
Houstonia longifolia var. longifolia,Bryce National Park,121
Houstonia longifolia var. longifolia,Yellowstone National Park,254
Mustela erminea,Great Smoky Mountains National Park,161
Mustela erminea,Yosemite National Park,303
Mustela erminea,Bryce National Park,242
Mustela erminea,Yellowstone National Park,497
Monotropa hypopithys,Great Smoky Mountains National Park,146
Monotropa hypopithys,Yosemite National Park,277
Monotropa hypopithys,Bryce National Park,230
Monotropa hypopithys,Yellowstone National Park,485
Pandion haliaetus,Great Smoky Mountains National Park,138
Pandion haliaetus,Yosemite National Park,282
Pandion haliaetus,Bryce National Park,154
Pandion haliaetus,Yellowstone National Park,466
Nandina domestica,Great Smoky Mountains National Park,59
Nandina domestica,Yosemite National Park,179
Nandina domestica,Bryce National Park,108
Nandina domestica,Yellowstone National Park,220
Aix sponsa,Great Smoky Mountains National Park,77
Aix sponsa,Yosemite National Park,152
Aix sponsa,Bryce National Park,95
Aix sponsa,Yellowstone National Park,278
Iris missouriensis,Great Smoky Mountains National Park,85
Iris missouriensis,Yosemite National Park,127
Iris missouriensis,Bryce National Park,100
Iris missouriensis,Yellowstone National Park,189
Rigiopappus leptocladus,Great Smoky Mountains National Park,57
Rigiopappus leptocladus,Yosemite National Park,166
Rigiopappus leptocladus,Bryce National Park,101
Rigiopappus leptocladus,Yellowstone National Park,266
Trifolium aureum,Great Smoky Mountains National Park,205
Trifolium aureum,Yosemite National Park,316
Trifolium aureum,Bryce National Park,158
Trifolium aureum,Yellowstone National Park,527
Ericameria cuneata var. cuneata,Great Smoky Mountains National Park,60
Ericameria cuneata var. cuneata,Yosemite National Park,166
Ericameria cuneata var. cuneata,Bryce National Park,100
Ericameria cuneata var. cuneata,Yellowstone National Park,247
Juncus marginatus,Great Smoky Mountains National Park,53
Juncus marginatus,Yosemite National Park,130
Juncus marginatus,Bryce National Park,106
Juncus marginatus,Yellowstone National Park,232
Carex jamesii,Great Smoky Mountains National Park,117
Carex jamesii,Yosemite National Park,158
Carex jamesii,Bryce National Park,123
Carex jamesii,Yellowstone National Park,231
Carex gracillima,Great Smoky Mountains National Park,87
Carex gracillima,Yosemite National Park,166
Carex gracillima,Bryce National Park,122
Carex gracillima,Yellowstone National Park,240
Crotalus viridis viridis,Great Smoky Mountains National Park,55
Crotalus viridis viridis,Yosemite National Park,120
Crotalus viridis viridis,Bryce National Park,120
Crotalus viridis viridis,Yellowstone National Park,240
Thaspium trifoliatum var. aureum,Great Smoky Mountains National Park,41
Thaspium trifoliatum var. aureum,Yosemite National Park,125
Thaspium trifoliatum var. aureum,Bryce National Park,107
Thaspium trifoliatum var. aureum,Yellowstone National Park,234
Leucobryum glaucum,Great Smoky Mountains National Park,88
Leucobryum glaucum,Yosemite National Park,139
Leucobryum glaucum,Bryce National Park,89
Leucobryum glaucum,Yellowstone National Park,248
Empidonax difficilis,Great Smoky Mountains National Park,93
Empidonax difficilis,Yosemite National Park,160
Empidonax difficilis,Bryce National Park,98
Empidonax difficilis,Yellowstone National Park,261
Sonchus oleraceus,Great Smoky Mountains National Park,63
Sonchus oleraceus,Yosemite National Park,174
Sonchus oleraceus,Bryce National Park,99
Sonchus oleraceus,Yellowstone National Park,225
Stizostedion vitreum,Great Smoky Mountains National Park,108
Stizostedion vitreum,Yosemite National Park,152
Stizostedion vitreum,Bryce National Park,98
Stizostedion vitreum,Yellowstone National Park,232
Heterocladium macounii,Great Smoky Mountains National Park,110
Heterocladium macounii,Yosemite National Park,128
Heterocladium macounii,Bryce National Park,102
Heterocladium macounii,Yellowstone National Park,255
Saponaria officinalis,Great Smoky Mountains National Park,164
